Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
31,Felix Bacher,at AUT,DF,Estoril,24-050,2000,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
32,Miguel Baeza,es ESP,"MF,FW",Nacional,24-262,2000,5,2,203,2.3,0.43,0.00,0.43,0.43,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,0.87,2.61,1.74,0.44,0.00,0.44,0.44,0.44,0.18,0.01,0.19,0.18,0.19,Matches
33,Alexander Bah,dk DEN,DF,Benfica,27-005,1997,10,10,842,9.4,0.00,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.11,2.66,5.85,7.55,0.00,0.11,0.11,0.00,0.11,0.03,0.07,0.10,0.03,0.10,Matches
34,Elves Bald�,gw GNB,"FW,MF",Farense,25-073,1999,10,6,496,5.5,0.18,0.00,0.18,0.18,0.00,0.00,0.00,0.00,0.31,0.31,0.02,0.33,2.00,1.82,2.91,0.18,0.00,0.18,0.18,0.18,0.30,0.02,0.32,0.30,0.32,Matches
35,Robson Bambu,br BRA,DF,Braga,27-032,1997,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,1.00,8.00,0.50,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
36,Simon Banza,cd COD,FW,Braga,28-123,1996,1,0,21,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
37,Rafael Barbosa,pt POR,"MF,FW",Farense,28-260,1996,7,3,359,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.05,0.05,0.15,0.20,1.25,7.00,5.25,0.00,0.00,0.00,0.00,0.00,0.04,0.15,0.19,0.04,0.19,Matches
38,Leandro Barreiro Martins,lu LUX,MF,Benfica,24-346,2000,8,5,430,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.02,0.02,0.42,3.33,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
39,Gil Basti�o Dias,pt POR,FW,Famalic�o,28-077,1996,11,6,669,7.4,0.41,0.00,0.41,0.41,0.00,0.00,0.41,0.00,0.19,0.19,0.03,0.22,2.97,2.97,7.84,0.40,0.00,0.40,0.40,0.40,0.19,0.03,0.22,0.19,0.22,Matches
40,Gabriel Batista,br BRA,GK,Santa Clara,26-194,1998,13,13,1.17,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
