Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
182,Justin de Haas,nl NED,DF,Famalic�o,24-317,2000,10,9,842,9.4,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.03,0.03,0.02,0.05,0.11,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
183,Tom�s H�ndel,pt POR,MF,Vit�ria,24-017,2000,13,13,1.118,12.4,0.08,0.00,0.08,0.08,0.00,0.00,0.16,0.00,0.06,0.06,0.04,0.10,1.45,6.21,1.45,0.08,0.00,0.08,0.08,0.08,0.07,0.04,0.10,0.07,0.10,Matches
184,Conrad Harder,dk DEN,"FW,MF",Sporting CP,19-251,2005,8,2,248,2.8,1.07,0.36,1.43,1.07,0.00,0.00,0.00,0.00,0.14,0.14,0.21,0.36,2.86,2.14,8.57,1.09,0.36,1.45,1.09,1.45,0.16,0.22,0.38,0.16,0.38,Matches
185,Thiago Helguera,uy URU,MF,Braga,18-263,2006,1,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
186,Gustavo Henrique,br BRA,"MF,FW",Estrela,25-226,1999,4,4,228,2.5,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.08,1.20,0.80,5.60,0.00,0.39,0.39,0.00,0.39,0.01,0.05,0.06,0.01,0.06,Matches
187,Morten Hjulmand,dk DEN,MF,Sporting CP,25-172,1999,11,10,826,9.2,0.11,0.11,0.22,0.11,0.00,0.00,0.11,0.00,0.07,0.07,0.07,0.13,0.11,7.17,1.09,0.11,0.11,0.22,0.11,0.22,0.07,0.06,0.13,0.07,0.13,Matches
188,Jordan Holsgrove,sct SCO,MF,Estoril,25-095,1999,8,6,595,6.6,0.15,0.30,0.45,0.15,0.00,0.00,0.15,0.00,0.05,0.05,0.27,0.30,1.06,5.61,1.52,0.15,0.30,0.45,0.15,0.45,0.04,0.27,0.31,0.04,0.31,Matches
189,Luk� Horn�?ek,cz CZE,GK,Braga,22-154,2002,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
190,Andr� Horta,pt POR,MF,Braga,28-037,1996,9,5,428,4.8,0.00,0.63,0.63,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.19,0.25,3.75,9.79,3.54,0.00,0.63,0.63,0.00,0.63,0.06,0.20,0.26,0.06,0.26,Matches
191,Ricardo Horta,pt POR,"MF,FW",Braga,30-090,1994,13,12,1.082,12.0,0.25,0.08,0.33,0.25,0.00,0.00,0.00,0.00,0.29,0.29,0.19,0.48,0.92,3.25,6.00,0.25,0.08,0.33,0.25,0.33,0.29,0.19,0.48,0.29,0.48,Matches
192,Igor,br BRA,MF,Estrela,21-282,2003,9,5,499,5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.04,0.04,0.09,0.13,0.36,4.18,0.36,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13,Matches
193,Andr� In�cio,br BRA,"MF,FW",Estrela,22-295,2002,7,4,413,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.20,0.20,0.07,0.24,3.91,0.87,4.57,0.00,0.00,0.00,0.00,0.00,0.19,0.06,0.25,0.19,0.25,Matches
194,Gon�alo In�cio,pt POR,DF,Sporting CP,23-111,2001,12,9,815,9.1,0.11,0.22,0.33,0.11,0.00,0.00,0.33,0.00,0.16,0.16,0.01,0.19,2.20,9.45,1.32,0.11,0.22,0.33,0.11,0.33,0.17,0.02,0.19,0.17,0.19,Matches
195,Isaac,br BRA,FW,Nacional,20-263,2004,10,4,431,4.8,0.42,0.00,0.42,0.42,0.00,0.00,0.42,0.00,0.40,0.40,0.02,0.40,0.42,1.04,4.79,0.42,0.00,0.42,0.42,0.42,0.39,0.01,0.40,0.39,0.40,Matches
196,Ismael,pt POR,MF,Moreirense,25-264,1999,13,13,1.035,11.5,0.09,0.09,0.17,0.09,0.00,0.00,0.35,0.00,0.14,0.14,0.04,0.17,0.61,3.83,1.30,0.09,0.09,0.17,0.09,0.17,0.13,0.04,0.18,0.13,0.18,Matches
197,Franco Israel,uy URU,GK,Sporting CP,24-236,2000,7,7,630,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
198,Ivan Jaime Pajuelo,es ESP,FW,Porto,24-079,2000,6,5,371,4.1,0.49,0.49,0.98,0.49,0.00,0.00,0.00,0.00,0.22,0.22,0.15,0.37,1.95,5.61,7.80,0.49,0.49,0.97,0.49,0.97,0.22,0.15,0.37,0.22,0.37,Matches
199,Jason,es ESP,FW,Arouca,30-161,1994,13,11,962,10.7,0.19,0.00,0.19,0.19,0.00,0.09,0.28,0.00,0.18,0.10,0.10,0.21,1.50,2.90,8.50,0.19,0.00,0.19,0.19,0.19,0.18,0.11,0.28,0.10,0.21,Matches
200,Jhonatan,br BRA,GK,Rio Ave,33-220,1991,8,8,720,8.0,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
201,Luiz L�cio Reis J�nior,br BRA,GK,Famalic�o,23-335,2001,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
202,Issa Kabor�,bf BFA,DF,Benfica,23-216,2001,2,0,12,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
203,Kaio,br BRA,FW,Vit�ria,20-303,2004,12,11,869,9.7,0.10,0.10,0.21,0.10,0.00,0.00,0.21,0.00,0.16,0.16,0.06,0.23,2.89,4.23,8.66,0.10,0.10,0.21,0.10,0.21,0.17,0.06,0.23,0.17,0.23,Matches
204,Issiaka Kamate,fr FRA,"FW,MF",AVS Futebol,20-134,2004,8,4,350,3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.10,0.13,2.05,2.05,4.87,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13,Matches
205,Kazu,br BRA,DF,Gil Vicente FC,24-271,2000,3,2,181,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,4.50,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
206,Keliano,ao ANG,MF,Estrela,21-333,2003,7,4,259,2.9,0.00,0.00,0.00,0.00,0.00,0.00,1.38,0.00,0.00,0.00,0.03,0.03,0.69,4.83,0.69,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
207,Kewin,br BRA,GK,Moreirense,29-050,1995,13,13,1.17,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
208,Kikas,pt POR,FW,Estrela,26-088,1998,13,9,919,10.2,0.39,0.00,0.39,0.39,0.00,0.00,0.20,0.00,0.17,0.17,0.02,0.19,0.88,0.69,4.80,0.39,0.00,0.39,0.39,0.39,0.17,0.02,0.19,0.17,0.19,Matches
209,Gustavo Klismahn,br BRA,"MF,FW",Santa Clara,25-021,1999,10,4,419,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.09,0.09,0.17,0.26,1.91,3.62,2.98,0.00,0.00,0.00,0.00,0.00,0.09,0.16,0.25,0.09,0.25,Matches
210,Ruben Kluivert,nl NED,DF,Casa Pia,23-207,2001,9,7,635,7.1,0.14,0.00,0.14,0.14,0.00,0.00,0.42,0.00,0.07,0.07,0.01,0.08,0.28,0.99,0.14,0.14,0.00,0.14,0.14,0.14,0.07,0.01,0.08,0.07,0.08,Matches
211,Koka,eg EGY,"FW,MF",Rio Ave,31-284,1993,7,0,144,1.6,0.63,0.00,0.63,0.63,0.00,0.00,1.25,0.00,0.50,0.50,0.13,0.63,1.25,0.00,3.13,0.62,0.00,0.62,0.62,0.62,0.52,0.12,0.64,0.52,0.64,Matches
212,Orkun K�k��,tr TUR,"MF,FW",Benfica,23-351,2000,11,9,808,9.0,0.22,0.33,0.56,0.22,0.00,0.00,0.56,0.00,0.13,0.13,0.22,0.34,1.78,8.56,5.78,0.22,0.33,0.56,0.22,0.56,0.13,0.22,0.35,0.13,0.35,Matches
213,Vladen Kova?evi?,ba BIH,GK,Sporting CP,26-247,1998,6,6,540,6.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
214,Andrian Kraev,bg BUL,MF,Casa Pia,25-304,1999,9,7,630,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.04,0.04,0.00,0.04,0.43,3.43,0.57,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
215,Chiheb Labidi,tn TUN,MF,Nacional,23-196,2001,3,1,82,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,1.11,5.56,1.11,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,Matches
216,Andr� Lacximicant,pt POR,FW,Estoril,23-209,2001,7,1,182,2.0,0.00,0.50,0.50,0.00,0.00,0.00,1.00,0.00,0.40,0.40,0.05,0.45,3.50,1.50,4.50,0.00,0.49,0.49,0.00,0.49,0.38,0.04,0.42,0.38,0.42,Matches
217,Chico Lamba,pt POR,DF,Arouca,21-279,2003,7,6,569,6.3,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.03,0.03,0.00,0.03,0.16,1.59,0.16,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
218,Larra,es ESP,"MF,DF",Casa Pia,26-363,1997,12,6,620,6.9,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.14,0.06,0.06,0.09,0.13,2.17,2.17,5.22,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.14,0.05,0.14,Matches
219,Leonardo Lelo,pt POR,"MF,DF",Casa Pia,24-259,2000,13,13,1.155,12.8,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.15,0.20,1.25,3.28,5.39,0.00,0.08,0.08,0.00,0.08,0.05,0.15,0.20,0.05,0.20,Matches
220,Marcos Leonardo,br BRA,MF,Benfica,21-226,2003,3,0,82,0.9,1.11,0.00,1.11,0.00,1.11,1.11,0.00,0.00,1.44,0.56,0.00,0.56,4.44,2.22,6.67,1.10,0.00,1.10,0.00,0.00,1.38,0.03,1.41,0.52,0.55,Matches
221,Guilherme Liberato,br BRA,MF,Moreirense,23-181,2001,4,0,45,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
222,Otso Liimatta,fi FIN,"FW,MF",Famalic�o,20-157,2004,4,1,114,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.15,0.15,0.08,0.23,1.54,3.08,8.46,0.00,0.00,0.00,0.00,0.00,0.17,0.07,0.25,0.17,0.25,Matches
223,R�ben Lima,pt POR,DF,Estrela,35-072,1989,8,5,481,5.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.04,0.57,3.02,0.38,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
224,J�r�my Livolant,fr FRA,"FW,MF",Casa Pia,26-340,1998,6,2,244,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.11,0.30,2.22,2.59,6.30,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.29,0.17,0.29,Matches
225,Danny Loader,eng ENG,"FW,MF",Porto,24-108,2000,11,7,584,6.5,0.31,0.00,0.31,0.15,0.15,0.15,0.15,0.00,0.46,0.34,0.05,0.37,1.38,1.69,5.38,0.31,0.00,0.31,0.15,0.15,0.46,0.04,0.50,0.34,0.38,Matches
226,Samuel Lobato,pt POR,FW,Famalic�o,23-056,2001,5,0,51,0.6,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,1.67,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
227,Tom van de Looi,nl NED,MF,Famalic�o,25-165,1999,9,1,238,2.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.08,0.38,10.8,1.92,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
228,Miguel Lopes,pt POR,DF,Estrela,37-361,1986,7,7,630,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.01,0.01,0.01,0.01,0.43,2.57,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
229,Vasco Lopes,cv CPV,"FW,MF",AVS Futebol,25-103,1999,9,2,348,3.9,0.51,0.26,0.77,0.51,0.00,0.00,0.77,0.00,0.15,0.15,0.15,0.31,4.36,3.85,8.21,0.52,0.26,0.78,0.52,0.78,0.15,0.16,0.30,0.15,0.30,Matches
230,Mamadou Loum,sn SEN,"MF,DF",Arouca,27-350,1996,6,3,296,3.3,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.06,0.06,0.00,0.09,0.30,2.73,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
231,Jonatan Lucca,br BRA,MF,AVS Futebol,30-195,1994,8,2,271,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.07,0.07,0.00,0.07,0.33,4.00,1.67,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
232,Florentino Lu�s,pt POR,MF,Benfica,25-117,1999,11,11,895,9.9,0.20,0.00,0.20,0.20,0.00,0.00,0.10,0.00,0.12,0.12,0.01,0.13,0.61,6.97,1.11,0.20,0.00,0.20,0.20,0.20,0.12,0.01,0.13,0.12,0.13,Matches
233,Z� Lu�s,cv CPV,FW,AVS Futebol,33-325,1991,6,3,274,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.13,0.33,0.67,1.67,1.00,0.00,0.00,0.00,0.00,0.00,0.21,0.13,0.33,0.21,0.33,Matches
234,Luismi,gq EQG,FW,Moreirense,23-158,2001,13,8,768,8.5,0.47,0.12,0.59,0.47,0.00,0.00,0.12,0.00,0.48,0.48,0.05,0.53,1.41,1.53,3.06,0.47,0.12,0.59,0.47,0.59,0.48,0.05,0.53,0.48,0.53,Matches
235,R�ben Macedo,pt POR,"FW,MF",Nacional,28-280,1996,12,8,711,7.9,0.13,0.00,0.13,0.00,0.13,0.13,0.00,0.00,0.33,0.23,0.18,0.41,5.06,1.65,5.57,0.13,0.00,0.13,0.00,0.00,0.33,0.17,0.51,0.23,0.41,Matches
236,Tiago Machado,pt POR,"MF,FW",Boavista,20-256,2004,7,0,64,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.29,0.57,0.00,2.86,10.0,0.00,0.00,0.00,0.00,0.00,0.22,0.32,0.54,0.22,0.54,Matches
237,Madson,br BRA,FW,Moreirense,25-110,1999,13,12,870,9.7,0.21,0.00,0.21,0.21,0.00,0.00,0.00,0.00,0.15,0.15,0.08,0.24,2.99,1.96,6.60,0.21,0.00,0.21,0.21,0.21,0.15,0.08,0.24,0.15,0.24,Matches
238,Eliaquim Mangala,fr FRA,DF,Estoril,33-305,1991,6,4,383,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.47,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
239,Ricardo Mangas,pt POR,FW,Vit�ria,26-270,1998,4,4,339,3.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.08,0.32,2.37,1.05,6.58,0.00,0.00,0.00,0.00,0.00,0.24,0.07,0.32,0.24,0.32,Matches
240,Nico Mantl,de GER,GK,Arouca,24-312,2000,13,13,1.17,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
241,Man�,ao ANG,"FW,MF",Estrela,19-035,2005,1,0,16,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
242,Manuel Manu,pt POR,MF,Vit�ria,23-185,2001,11,3,350,3.9,0.26,0.00,0.26,0.26,0.00,0.00,0.51,0.00,0.05,0.05,0.03,0.08,0.00,8.46,0.77,0.26,0.00,0.26,0.26,0.26,0.06,0.03,0.09,0.06,0.09,Matches
243,Marac�s,br BRA,DF,Moreirense,30-231,1994,11,8,773,8.6,0.12,0.12,0.23,0.12,0.00,0.00,0.12,0.00,0.16,0.16,0.10,0.27,0.12,0.93,0.00,0.12,0.12,0.23,0.12,0.23,0.17,0.10,0.27,0.17,0.27,Matches
244,Adri�n Mar�n,es ESP,DF,Braga,27-340,1997,8,7,620,6.9,0.00,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.87,8.41,2.03,0.00,0.29,0.29,0.00,0.29,0.00,0.10,0.10,0.00,0.10,Matches
245,Jo�o M�rio,pt POR,"FW,MF",Benfica,31-330,1993,2,2,154,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.06,0.06,0.18,0.24,1.76,10.6,10.0,0.00,0.00,0.00,0.00,0.00,0.05,0.19,0.24,0.05,0.24,Matches
246,Jo�o M�rio Lopes,pt POR,DF,Porto,24-346,2000,10,5,464,5.2,0.00,0.58,0.58,0.00,0.00,0.00,0.38,0.00,0.08,0.08,0.46,0.54,5.00,7.12,13.1,0.00,0.58,0.58,0.00,0.58,0.08,0.47,0.55,0.08,0.55,Matches
247,Uladzisla? Maroza?,by BLR,"FW,MF",Arouca,24-063,2000,7,1,99,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,0.00,3.64,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
248,Alejandro Marqu�s,ve VEN,FW,Estoril,24-132,2000,13,11,992,11.0,0.45,0.00,0.45,0.27,0.18,0.18,0.00,0.00,0.25,0.10,0.02,0.12,0.45,1.09,2.82,0.45,0.00,0.45,0.27,0.27,0.25,0.01,0.26,0.10,0.12,Matches
249,Jo�o Marques,pt POR,"MF,FW",Braga,22-305,2002,3,0,37,0.4,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.25,0.25,0.00,0.25,0.00,2.50,15.0,0.00,0.00,0.00,0.00,0.00,0.22,0.04,0.26,0.22,0.26,Matches
250,Gabri Mart�nez,es ESP,"FW,DF",Braga,21-327,2003,11,8,703,7.8,0.38,0.26,0.64,0.38,0.00,0.00,0.26,0.00,0.36,0.29,0.31,0.60,5.26,3.72,10.1,0.38,0.26,0.64,0.38,0.64,0.35,0.30,0.66,0.30,0.60,Matches
251,Toni Mart�nez,es ESP,FW,Porto,27-167,1997,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
252,Bernardo Sousa Pereira Brites Martins,pt POR,"FW,MF",Moreirense,27-010,1997,11,5,452,5.0,0.20,0.20,0.40,0.20,0.00,0.00,0.20,0.00,0.08,0.08,0.14,0.24,1.80,4.80,4.40,0.20,0.20,0.40,0.20,0.40,0.08,0.15,0.23,0.08,0.23,Matches
253,Matheus,br BRA,GK,Braga,32-148,1992,12,12,1.08,12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
254,Marco Matias,pt POR,FW,Farense,35-218,1989,7,4,297,3.3,0.30,0.30,0.61,0.30,0.00,0.00,0.00,0.00,0.12,0.12,0.21,0.33,0.61,1.82,3.33,0.30,0.30,0.61,0.30,0.61,0.11,0.21,0.32,0.11,0.32,Matches
255,Jordi Mboula,es ESP,"FW,MF",Gil Vicente FC,25-273,1999,10,6,584,6.5,0.00,0.31,0.31,0.00,0.00,0.00,0.15,0.00,0.18,0.18,0.06,0.23,2.46,2.92,6.00,0.00,0.31,0.31,0.00,0.31,0.18,0.06,0.24,0.18,0.24,Matches
256,Tob�as Medina,ar ARG,"MF,FW",Rio Ave,20-286,2004,2,0,30,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
257,Francisco Meixedo,pt POR,GK,Estrela,23-209,2001,1,0,45,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
258,Yair Mena Palacios,co COL,"FW,DF",AVS Futebol,24-169,2000,5,0,39,0.4,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.25,0.25,0.00,0.25,0.00,0.00,7.50,0.00,0.00,0.00,0.00,0.00,0.13,0.11,0.23,0.13,0.23,Matches
259,Jo�o Mendes,pt POR,"FW,MF",Vit�ria,30-054,1994,14,6,632,7.0,0.14,0.00,0.14,0.14,0.00,0.00,0.14,0.00,0.09,0.09,0.04,0.13,1.71,2.57,4.43,0.14,0.00,0.14,0.14,0.14,0.16,0.07,0.24,0.16,0.24,Matches
260,Jo�o Mendes,pt POR,DF,Vit�ria,24-245,2000,11,11,974,10.8,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.01,0.01,0.05,0.06,2.69,4.91,7.22,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
261,Joe Mendes,se SWE,DF,Braga,21-349,2002,4,2,184,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,5.50,5.00,9.50,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches
262,Gustavo Mendon�a,pt POR,MF,AVS Futebol,21-278,2003,3,1,93,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
263,Miguel Menino,pt POR,MF,Farense,21-339,2003,10,7,620,6.9,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.01,0.01,0.07,0.10,1.16,2.03,2.32,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches
264,John Mercado,ec ECU,"FW,MF",AVS Futebol,22-194,2002,12,11,862,9.6,0.10,0.10,0.21,0.10,0.00,0.00,0.00,0.00,0.11,0.11,0.09,0.21,2.40,0.83,6.98,0.10,0.10,0.21,0.10,0.21,0.11,0.10,0.21,0.11,0.21,Matches
265,Mehdi Merghem,fr FRA,"MF,FW",Farense,27-148,1997,7,4,344,3.8,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.05,0.05,0.39,0.45,3.42,4.74,4.47,0.00,0.00,0.00,0.00,0.00,0.06,0.39,0.45,0.06,0.45,Matches
266,Bruno Messi,pt POR,"MF,FW",Santa Clara,28-096,1996,5,0,95,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,4.55,0.91,10.9,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
267,Enea Mihaj,al ALB,DF,Famalic�o,26-162,1998,13,13,1.093,12.1,0.00,0.08,0.08,0.00,0.00,0.00,0.33,0.00,0.02,0.02,0.01,0.03,0.33,2.23,0.08,0.00,0.08,0.08,0.00,0.08,0.03,0.01,0.03,0.03,0.03,Matches
268,�lex Mill�n,es ESP,"FW,MF",Farense,25-037,1999,8,4,380,4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.02,0.02,0.02,0.05,0.24,0.71,1.67,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
269,Cezary Miszta,pl POL,GK,Rio Ave,23-045,2001,5,5,450,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
270,Rodrigo Mora,pt POR,MF,Porto,17-223,2007,4,0,55,0.6,1.67,0.00,1.67,1.67,0.00,0.00,1.67,0.00,0.50,0.50,0.00,0.50,1.67,13.3,11.7,1.64,0.00,1.64,1.64,1.64,0.52,0.00,0.52,0.52,0.52,Matches
271,Morato,br BRA,DF,Benfica,23-167,2001,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,4.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
272,Paulo Moreira,pt POR,MF,Estrela,24-301,2000,8,3,277,3.1,0.32,0.00,0.32,0.32,0.00,0.00,0.65,0.00,0.00,0.00,0.00,0.03,1.29,3.55,1.94,0.32,0.00,0.32,0.32,0.32,0.01,0.01,0.02,0.01,0.02,Matches
273,Marco Moreno,es ESP,DF,Farense,23-298,2001,10,9,778,8.6,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.07,0.07,0.01,0.08,0.47,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
274,Hidemasa Morita,jp JPN,MF,Sporting CP,29-218,1995,13,7,756,8.4,0.24,0.24,0.48,0.24,0.00,0.00,0.00,0.00,0.17,0.17,0.15,0.32,1.19,7.38,3.10,0.24,0.24,0.48,0.24,0.48,0.17,0.16,0.32,0.17,0.32,Matches
275,Moura,pt POR,DF,Famalic�o,25-120,1999,4,4,360,4.0,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.13,0.15,2.25,2.25,4.75,0.00,0.25,0.25,0.00,0.25,0.01,0.13,0.14,0.01,0.14,Matches
