Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Escalações no time titular,Minutos jogados,Disputas aéreas,"Desafios aéreos vencidos, %",Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Faltas,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Faltas sofridas,Bolas recuperadas,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,"Chutes no gol, %",Xg,Bolas perdidas / no próprio campo,Perdas individuais,Passes,Passes precisos %,Assistências,Chances criadas,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Bolas recuperadas no campo do adversário,Gols de cabeça,"Gols marcados do número total de chutes, %",Bolas perdidas,Controle de bola ruim,Impedimentos,Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %"
Eirô,Futebol Clube De Felgueiras,24,2001-01-06,176,Direita,Portugal,-,-,RD,2024/2025,184,24,21,2063,79,42%,161,44%,56,52%,77,35,24,3,1,109,57%,41,56%,42,127,-,2,0%,12,33%,0.86,29,48,1066,74%,1,8,10,80%,64,38%,251,59%,50,26%,63,16%,19,4.52,20,35%,36,-,0%,155,6,-,165,64%
Diogo Spencer,Benfica II,21,2004-04-17,,-,Portugal,-,-,RD,2024/2025,190,26,20,1948,16,38%,109,50%,54,54%,63,29,15,2,-,91,54%,53,58%,10,91,-,3,0%,13,15%,0.66,32,50,975,77%,-,9,9,100%,65,51%,216,60%,44,39%,39,23%,18,2.84,22,45%,23,-,0%,154,6,1,117,56%
Gonçalo Barros,Mafra U23,19,2005-11-07,183,-,Portugal,-,-,RD,2024/2025,168,26,23,1916,54,67%,216,67%,101,69%,110,134,21,11,3,137,58%,67,67%,23,139,1,2,50%,8,63%,0.37,27,46,954,76%,2,4,11,45%,76,42%,212,56%,70,50%,36,19%,18,2.31,28,61%,32,-,13%,142,18,1,145,54%
Dinis,Porto II,20,2005-01-12,,-,Portugal,-,-,RD,2024/2025,181,27,20,1909,21,43%,63,52%,20,55%,37,14,14,1,1,58,47%,34,47%,12,70,-,1,0%,16,38%,0.6,37,42,929,71%,5,15,8,100%,101,31%,173,46%,83,30%,38,13%,22,3.61,13,38%,21,-,0%,147,3,2,120,43%
Teodoro Fernandes Correia,Portimonense U23,22,2002-09-17,,-,Angola,-,-,RD,2024/2025,173,20,17,1756,24,50%,163,59%,72,60%,111,93,27,6,1,98,56%,53,66%,17,112,-,2,50%,5,80%,0.38,33,30,664,77%,1,6,5,60%,38,34%,103,59%,26,42%,33,27%,23,1.75,23,61%,23,-,0%,95,9,1,71,70%
Leandro Santos,Benfica II,19,2005-09-28,,-,Portugal,-,-,RD,2024/2025,198,24,17,1742,32,53%,100,49%,41,51%,33,6,24,-,-,107,46%,54,50%,19,72,2,4,50%,10,40%,1.01,28,59,864,86%,4,12,10,90%,35,71%,125,70%,30,60%,30,23%,9,3.82,30,50%,20,-,20%,106,1,-,72,64%
David Bruno,Futebol Clube De Alverca,33,1992-02-14,175,Direita,Portugal,€150K,2023-06-30,RD,2024/2025,187,19,17,1580,22,36%,49,49%,21,67%,24,-,18,-,-,19,63%,4,50%,1,69,2,3,67%,7,29%,0.45,25,11,885,81%,5,8,4,100%,52,42%,239,68%,45,51%,22,18%,22,2.97,-,-,19,-,29%,82,-,1,121,68%
Igor Julião,Maritimo,30,1994-08-23,175,Direita,Brazil,€400K,2023-06-30,RD,2024/2025,181,21,16,1459,47,53%,99,58%,36,72%,37,16,37,2,1,62,58%,24,63%,36,57,1,2,50%,8,63%,0.65,20,30,665,70%,2,6,4,100%,51,39%,135,55%,41,34%,40,25%,15,3.19,14,57%,16,1,13%,115,-,6,116,50%
Ítalo,FC Vizela U23,22,2002-06-28,,-,-,-,-,RD,2024/2025,190,18,17,1455,40,65%,161,61%,70,70%,83,57,18,7,2,206,60%,136,65%,39,107,-,3,0%,15,7%,0.34,29,63,661,80%,2,4,7,29%,36,42%,117,62%,35,46%,39,18%,16,1.38,62,56%,38,-,0%,118,8,1,63,60%
Jorge Miguel Lopes Xavier,Belenenses,24,2001-05-19,188,-,Portugal,€300K,-,RD,2024/2025,186,19,15,1419,36,58%,54,61%,11,82%,39,4,30,1,1,59,51%,19,58%,13,68,-,4,0%,9,0%,0.5,15,31,617,78%,-,6,6,100%,32,31%,123,58%,28,43%,23,13%,11,0.9,10,30%,24,-,0%,87,-,2,72,64%
Pontus Texel,Mafra,21,2004-02-27,182,Ambos,Denmark,€200K,2027-06-30,RD,2024/2025,186,15,14,1279,22,50%,56,64%,25,68%,52,24,14,1,-,30,53%,10,70%,13,53,1,1,100%,2,50%,0.38,22,12,541,77%,1,4,3,67%,35,43%,94,51%,27,52%,23,22%,19,0.55,3,67%,10,-,50%,65,2,-,67,58%
Heitor Rodrigues da Fonseca,Guarani,24,2000-11-05,175,Direita,Brazil,€1.2M,2022-12-31,RD,2024/2025,190,13,13,1279,20,55%,69,59%,30,57%,38,-,16,-,-,46,67%,21,52%,8,72,-,1,0%,17,12%,0.48,24,25,621,74%,1,12,9,100%,65,29%,115,61%,40,48%,28,11%,19,2.62,6,50%,23,-,0%,97,-,1,90,56%
Kaue,Sao Paulo U20,19,2006-01-15,,-,Brazil,-,-,RD,2024/2025,166,12,12,1139,30,57%,62,55%,28,46%,31,-,9,-,-,35,71%,9,56%,13,56,-,-,-,1,0%,0.03,11,20,438,75%,1,-,-,-,19,42%,90,50%,30,30%,17,18%,7,0.56,4,50%,21,-,0%,66,-,-,63,48%
Klebinho,Uniao Desportiva Oliveirense,26,1998-08-02,164,Direita,Brazil,€250K,2022-12-31,RD,2024/2025,177,19,11,1134,16,38%,62,50%,25,52%,36,18,13,1,-,39,51%,16,50%,28,49,-,-,-,4,25%,0.15,15,17,576,77%,-,9,9,100%,66,36%,137,62%,48,46%,21,24%,11,2.11,4,75%,16,-,0%,71,1,-,81,58%
Miguel Mota,Pacos Ferreira,21,2003-08-26,183,-,Portugal,-,-,RD,2024/2025,173,18,10,935,25,40%,72,64%,27,70%,29,11,24,1,-,32,53%,10,60%,12,52,-,1,0%,4,25%,0.32,14,24,363,73%,1,2,2,100%,21,24%,102,49%,34,32%,15,27%,7,0.96,1,0%,14,-,0%,62,1,-,68,46%
