Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,Xg,Bolas perdidas,Bolas perdidas / no próprio campo,Passes,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %",Escalações no time titular,Disputas aéreas,"Desafios aéreos vencidos, %",Faltas,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas,Bolas recuperadas no campo do adversário,Gols de cabeça,"Chutes no gol, %","Gols marcados do número total de chutes, %",Perdas individuais,Controle de bola ruim,Impedimentos,Passes precisos %,Assistências,Chances criadas,Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA
Hyppolite Orelien Ekanga Ondoa,CF Os Belenenses,22,2003-03-08,,-,Cameroon,-,-,RAM,2024/2025,173,30,1505,71,31%,35,34%,21,44,2,-,252,36%,72,54%,4,17,24%,34,3.44,176,11,237,17,41%,32,47%,25,40%,12,65,23%,30,49,45%,46,18,9,1,47%,12%,128,25,16,65%,3,16,50,56%,3,33%,17,18%,4,2.92
Abraham Marcus,Porto II,25,2000-01-02,178,Canhoto,Nigeria,€1.2M,2023-06-30,RAM,2024/2025,184,23,1495,77,35%,17,35%,32,9,1,-,183,43%,82,48%,3,10,30%,24,2.4,125,24,499,11,82%,65,40%,44,52%,16,49,43%,19,42,43%,41,39,22,-,21%,13%,77,3,4,77%,1,13,107,60%,21,71%,32,19%,7,2.91
Jair Silva,Uniao Desportiva Leiria,27,1997-08-13,168,-,Brazil,€650K,2022-06-30,RAM,2024/2025,175,25,1448,72,50%,26,62%,27,9,-,-,171,42%,47,34%,3,14,21%,34,3.65,107,12,341,8,88%,36,56%,27,52%,14,85,48%,22,34,32%,24,39,16,1,38%,9%,55,3,4,72%,2,12,72,58%,16,50%,20,25%,5,2.85
Euller,Seoul E-Land,30,1995-01-04,175,Canhoto,Brazil,€400K,2023-05-31,RAM,2024/2025,206,16,1426,76,38%,33,48%,23,20,1,1,100,51%,41,54%,5,8,63%,39,4.06,107,14,625,21,86%,129,45%,77,65%,16,29,31%,25,26,46%,48,35,17,-,41%,13%,43,2,-,73%,4,27,108,68%,47,47%,51,27%,6,7.51
Robinho,Penafiel,27,1997-07-31,171,Direita,Portugal,-,2021-06-30,RM,2024/2025,181,16,1390,86,48%,33,48%,36,-,-,-,119,45%,38,45%,5,9,56%,19,3.97,136,25,464,6,100%,53,26%,71,34%,13,62,47%,42,12,50%,42,48,22,-,42%,26%,58,-,4,62%,2,8,138,41%,32,34%,17,6%,13,2.88
Camilo Andres Durán Marquez,Lusitania,23,2002-02-10,178,-,Brazil,-,-,RM,2024/2025,171,24,1367,63,32%,28,32%,17,2,-,-,88,51%,36,50%,4,15,27%,44,3.77,72,7,227,5,100%,16,56%,26,69%,13,40,40%,15,25,52%,29,21,7,1,25%,9%,43,-,-,74%,1,8,54,59%,11,55%,27,22%,4,1.57
Valter Manuel Monteiro,Mafra U23,19,2005-11-08,,-,Angola,-,-,RAM,2024/2025,165,22,1212,60,42%,37,41%,49,58,4,3,205,38%,110,46%,4,10,40%,21,2.26,119,29,304,6,83%,25,56%,29,55%,13,22,36%,16,64,39%,24,36,16,-,38%,19%,86,16,3,75%,-,8,59,63%,5,60%,10,10%,7,3.04
Gonçalo Sousa,Porto II,18,2006-06-30,,-,Portugal,-,-,RAM,2024/2025,171,24,1207,67,39%,30,43%,17,11,-,-,97,31%,41,37%,1,3,33%,7,0.92,85,17,417,9,100%,44,48%,34,74%,12,33,30%,18,21,33%,24,31,18,-,14%,14%,54,1,2,80%,2,11,58,76%,16,63%,24,25%,3,1.18
Rodrigo Rêgo,Benfica U23,20,2005-01-03,173,-,Portugal,-,-,RAM,2024/2025,177,23,1186,121,46%,85,48%,40,60,1,-,173,43%,83,55%,6,14,43%,37,4.35,94,9,344,15,47%,50,46%,34,62%,14,21,19%,30,45,49%,21,38,16,-,43%,16%,56,12,1,74%,2,15,70,60%,14,64%,32,38%,2,3.24
Marquinho,Academico Viseu,23,2002-04-05,,-,Brazil,-,-,RM,2024/2025,170,24,1165,38,24%,17,24%,25,25,-,-,67,42%,21,33%,2,3,67%,14,1.18,75,10,348,8,38%,45,40%,47,53%,9,16,31%,5,6,50%,21,16,6,-,21%,14%,35,6,2,74%,1,5,79,56%,28,57%,6,50%,3,1.12
João Rêgo,Benfica U23,19,2005-06-20,182,-,Portugal,-,-,RAM,2024/2025,192,16,1110,68,32%,22,50%,19,2,-,-,110,46%,42,40%,4,11,36%,27,2.39,86,10,317,3,100%,30,63%,42,62%,13,44,36%,20,23,43%,33,22,11,3,48%,15%,48,-,1,75%,2,5,86,69%,-,-,12,0%,3,0.89
Alberto Soro,-,26,1999-03-09,173,Canhoto,Spain,€800K,2025-06-30,RAM,2024/2025,163,21,1025,33,45%,9,44%,18,-,-,-,52,40%,14,21%,-,6,0%,13,1.49,54,11,299,5,100%,14,57%,27,59%,11,29,28%,24,3,33%,34,25,11,-,23%,0%,28,-,2,78%,-,6,62,69%,5,80%,11,27%,5,1.37
Miguel Bandarra,Academico Viseu,29,1996-01-17,182,Direita,Portugal,€300K,2024-06-30,RAM,2024/2025,190,15,947,60,53%,23,61%,54,10,-,-,40,65%,13,62%,2,6,50%,14,0.55,78,10,445,8,88%,69,52%,89,49%,14,36,58%,7,5,20%,8,58,24,-,57%,14%,24,1,-,67%,1,12,117,50%,40,45%,23,22%,5,2.07
Feliz,Futebol Clube De Felgueiras,36,1989-04-09,164,Canhoto,Portugal,-,2023-06-30,RAM,2024/2025,171,21,931,39,31%,16,31%,7,4,-,-,56,30%,20,40%,-,5,0%,8,1.11,80,10,394,6,100%,55,45%,44,75%,7,17,24%,15,11,27%,23,21,13,-,25%,0%,43,3,3,76%,2,8,79,75%,19,68%,35,31%,4,3.28
Jordan Saint-Louis,Academica,25,1999-10-18,182,-,United States of America,-,2018-06-30,RAM,2024/2025,181,16,659,45,49%,23,57%,14,34,-,-,94,47%,37,49%,2,8,25%,21,1.87,50,6,184,9,56%,12,33%,16,56%,6,24,54%,11,25,48%,3,22,12,-,33%,10%,32,11,2,73%,1,7,28,57%,5,60%,10,10%,1,1.65
