Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Escalações no time titular,Minutos jogados,Disputas aéreas,"Desafios aéreos vencidos, %",Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Faltas,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas no campo do adversário,Gols,Gols de cabeça,Chances de gol,"Chances c/ sucesso, %",Chutes,"Chutes no gol, %","Gols marcados do número total de chutes, %",Xg,Bolas perdidas,Perdas individuais,Controle de bola ruim,Impedimentos,Assistências,Chances criadas,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",xA
Kevin Stiven Quejada Lasso,Gremio B,22,2002-10-15,187,Direita,"Brazil, Colombia",€150K,-,CF,2024/2025,146,9,-,307,38,32%,11,36%,2,50%,-,9,44,34%,2,50%,2,-,-,-,4,0%,6,33%,0%,0.61,40,23,1,3,-,-,-,-,3,33%,0.13
Pedro Vieira,Penafiel,23,2002-05-03,,-,Portugal,-,-,CF,2024/2025,143,10,2,301,19,11%,14,43%,3,67%,5,8,24,29%,6,67%,6,4,-,-,-,-,1,0%,0%,0.03,20,19,-,1,-,2,2,100%,6,17%,0.33
Guilherme Brandao Azevedo,Coritiba,20,2004-06-25,,-,Brazil,-,-,CF,2024/2025,154,10,1,296,32,28%,10,20%,1,100%,8,8,31,42%,2,100%,10,5,2,1,8,25%,11,55%,18%,2.17,24,18,-,4,-,1,-,-,1,0%,0.2
Mozino,Leixoes,28,1997-03-30,179,Direita,Cote d'Ivoire,€125K,2022-06-30,CF,2024/2025,173,7,2,280,14,29%,11,27%,4,25%,-,2,44,41%,4,50%,6,-,2,-,3,67%,8,63%,25%,2.84,28,21,4,3,-,1,1,100%,5,60%,0.34
Mauro Andres Caballero Aguilera,Torpedo Kutaisi,30,1994-10-08,180,Canhoto,Paraguay,€125K,2022-12-31,CF,2024/2025,142,8,3,251,15,53%,5,40%,-,-,2,7,16,50%,2,50%,6,2,1,-,2,50%,3,33%,33%,0.97,16,9,-,3,-,-,-,-,2,100%,0.27
Luís Mota,Porto II,21,2003-09-25,183,Direita,Portugal,€150K,2023-06-30,CF,2024/2025,174,4,1,155,8,13%,7,29%,3,0%,6,3,17,35%,1,100%,4,-,1,-,2,50%,6,67%,17%,1.13,11,7,-,-,-,1,-,-,1,0%,0.05
Juan Diego Alegria Arango,Rangers II,22,2002-06-06,178,Direita,Colombia,€300K,2023-05-31,CF,2024/2025,139,5,-,139,10,20%,3,67%,2,100%,1,4,15,33%,-,-,2,-,-,-,-,-,-,-,-,-,11,6,-,-,-,1,1,100%,1,0%,0.13
Herculano Bucancil Nabian,Empoli U19,21,2004-01-25,182,Direita,"Portugal, Guinea-Bissau",€450K,2023-06-30,CF,2024/2025,156,8,-,131,2,100%,3,100%,-,-,3,2,8,25%,-,-,-,-,-,-,1,0%,1,0%,0%,0.12,10,7,-,-,-,-,-,-,2,50%,-
Daniel Nussbaumer,Academico Viseu,25,1999-11-29,189,Direita,Austria,€75K,2024-06-30,CF,2024/2025,156,6,-,125,7,29%,8,38%,2,50%,1,4,15,7%,-,-,2,-,-,-,1,0%,1,100%,0%,0.35,8,7,3,-,-,-,-,-,-,-,-
John Arthur,Futebol Clube De Felgueiras,23,2002-04-08,,-,Ghana,-,-,LCF,2024/2025,165,4,-,104,9,22%,4,25%,1,0%,2,2,13,31%,-,-,2,-,-,-,1,0%,2,50%,0%,0.27,7,7,-,1,-,-,-,-,1,100%,0.08
Tomás Teixeira,Pacos Ferreira,18,2006-09-24,,-,Portugal,-,-,CF,2024/2025,149,4,1,100,2,0%,3,0%,1,0%,1,-,5,0%,-,-,-,1,-,-,2,0%,4,25%,0%,0.72,7,4,-,-,-,-,-,-,1,0%,0.1
Sava Petrov,FC Vizela U23,26,1998-06-18,190,Direita,Serbia,€500K,2021-06-30,CF,2024/2025,-,4,1,95,1,0%,1,0%,-,-,-,-,4,50%,-,-,3,-,-,-,-,-,1,0%,0%,0.09,4,1,-,-,-,-,-,-,-,-,-
Maelo Rentería,Pacos Ferreira,21,2004-02-13,187,-,Ecuador,-,-,CF,2024/2025,153,4,-,70,9,0%,4,25%,-,-,3,1,15,7%,1,0%,-,-,-,-,-,-,-,-,-,-,8,7,3,-,-,-,-,-,-,-,-
Izumi Miyata,Uniao Desportiva Oliveirense,24,2001-04-28,184,-,Japan,€25K,-,RCF,2024/2025,-,1,-,13,1,0%,2,50%,-,-,1,1,1,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bernardo Pinto Lima,Porto U15,17,2008-03-26,,-,Portugal,-,-,LCF,2024/2025,-,1,-,10,3,33%,2,50%,-,-,-,-,1,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
