Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,Xg,Bolas perdidas,Bolas perdidas / no próprio campo,Passes,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %",Escalações no time titular,Disputas aéreas,"Desafios aéreos vencidos, %",Faltas,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas,Bolas recuperadas no campo do adversário,Gols de cabeça,"Chutes no gol, %","Gols marcados do número total de chutes, %",Perdas individuais,Controle de bola ruim,Impedimentos,Passes precisos %,Assistências,Chances criadas,Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA
Agostinho,SC São João Ver,24,2000-07-01,,-,Guinea-Bissau,-,-,LAM,2024/2025,178,11,402,23,61%,15,67%,10,14,-,-,70,63%,36,86%,-,1,0%,11,0.5,37,4,96,3,33%,10,20%,2,0%,2,9,56%,6,28,89%,15,10,3,-,36%,0%,23,2,5,65%,1,3,17,47%,3,67%,4,0%,-,1.18
Hélio Varela,KAA Gent,23,2002-05-03,176,Direita,"Portugal, Cape Verde",€2.5M,2022-06-30,LAM,2024/2025,187,14,382,19,26%,1,0%,6,5,-,-,53,38%,24,33%,-,1,0%,1,0.15,42,7,118,3,33%,10,40%,8,63%,1,17,47%,8,17,29%,12,6,2,-,100%,0%,26,2,2,72%,1,2,14,71%,-,-,9,0%,2,0.34
Camilo Andres Acosta Pinerez,CF Os Belenenses,22,2003-03-26,,Direita,Colombia,-,-,LAM,2024/2025,161,9,294,13,62%,8,75%,8,21,-,-,48,33%,19,37%,-,-,-,4,0.44,24,2,87,-,-,5,40%,7,86%,2,12,42%,5,11,27%,5,7,-,-,25%,0%,16,3,1,79%,-,1,11,82%,2,0%,8,13%,-,0.45
Matias Rafael Lacava Gonzalez,Ulsan,22,2002-10-24,167,Canhoto,"Venezuela, Spain",€700K,2023-07-01,LAM,2024/2025,195,3,290,18,56%,14,64%,4,11,1,1,38,29%,13,54%,1,2,50%,6,0.56,30,4,96,3,67%,23,61%,3,67%,3,5,40%,3,4,25%,6,8,5,-,17%,17%,17,2,2,76%,1,4,6,50%,5,40%,15,13%,2,0.93
Ivo Almeida,S.C. Salgueiros,20,2005-01-28,,-,Portugal,-,-,LAM,2024/2025,156,18,278,28,54%,13,38%,5,12,2,-,42,40%,9,67%,-,6,0%,5,0.84,19,3,64,2,100%,6,67%,10,80%,-,19,42%,4,4,25%,13,7,2,-,60%,0%,16,5,3,78%,1,5,15,67%,2,100%,1,100%,1,1.13
William Gomes,São Paulo FC,19,2006-03-15,,-,Brazil,-,-,LM,2024/2025,181,7,250,17,47%,7,71%,6,-,-,-,21,38%,9,33%,-,1,0%,7,0.53,21,1,60,4,100%,6,17%,5,40%,1,8,13%,9,6,33%,2,8,3,-,29%,0%,11,-,1,62%,-,3,16,50%,2,100%,8,0%,1,0.63
Davis,Farense U23,22,2002-08-13,175,-,Brazil,-,-,LM,2024/2025,169,7,244,12,33%,6,67%,8,12,1,1,49,37%,17,47%,-,-,-,2,0.09,22,8,72,1,0%,8,63%,9,56%,3,4,25%,6,7,29%,10,7,3,-,0%,0%,18,4,-,79%,-,1,17,65%,2,50%,1,0%,1,0.22
Beni Souza,Benfica II,21,2003-08-21,,-,France,-,-,LAM,2024/2025,157,7,168,12,50%,3,33%,1,-,-,-,18,33%,8,13%,-,-,-,1,0.03,16,2,42,-,-,5,0%,9,56%,1,4,50%,2,3,0%,5,4,2,-,0%,0%,8,-,-,67%,-,-,10,40%,2,0%,1,0%,1,-
Alhaji Kamara,Randers,31,1994-04-16,180,Direita,"Sierra Leone, United States of America",€300K,2024-06-30,LAM,2024/2025,-,9,153,7,57%,3,67%,-,-,-,-,15,33%,2,0%,-,-,-,2,0.23,15,2,14,-,-,-,-,-,-,1,9,33%,8,1,0%,-,3,3,-,0%,0%,11,-,2,64%,-,-,3,33%,-,-,-,-,-,-
Jota,Penafiel,22,2002-09-06,,-,Portugal,-,-,LM,2024/2025,151,6,84,3,100%,1,100%,-,-,-,-,9,33%,3,33%,-,-,-,2,0.2,9,-,23,-,-,2,0%,2,100%,-,1,0%,2,2,0%,2,1,-,-,0%,0%,4,-,-,52%,-,-,5,40%,1,100%,1,0%,-,-
Rui Ferreira,Pacos Ferreira,23,2002-04-24,185,Ambos,Portugal,-,-,LM,2024/2025,-,1,46,6,33%,3,0%,1,2,-,-,1,0%,-,-,-,-,-,-,-,5,3,6,-,-,1,0%,-,-,1,1,100%,2,-,-,-,1,-,-,-,-,2,-,-,17%,-,-,1,0%,-,-,-,-,2,-
Martim Ribeiro,Uniao Desportiva Leiria,19,2006-04-06,,-,Portugal,-,-,LAM,2024/2025,-,1,19,1,0%,1,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rodrigo Melro,Chaves,21,2004-03-14,,-,Portugal,€100K,-,LAM,2024/2025,-,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,2,-,4,-,-,1,0%,-,-,-,-,-,2,-,-,1,-,-,-,0%,0%,-,-,-,50%,-,-,-,-,-,-,-,-,-,-
Gabriel Ferreira Miranda,Feirense,18,2006-07-12,,-,Portugal,-,-,LM,2024/2025,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0%,1,0.07,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-,-,-,100%,-,-,-,-,-,-,-,-,-,-
